id,user_id,item_id,rating,rating_date
1,1,1,5,2024-01-20
2,1,13,5,2024-01-22
3,1,3,4,2024-02-10
4,1,15,5,2024-03-05
5,2,7,5,2024-02-15
6,2,8,5,2024-02-20
7,2,15,4,2024-03-01
8,2,18,5,2024-03-15
9,2,21,4,2024-04-10
10,3,3,5,2024-03-01
11,3,4,5,2024-03-05
12,3,5,4,2024-03-20
13,3,16,5,2024-04-12
14,3,17,5,2024-05-01
15,4,6,4,2024-03-25
16,4,5,5,2024-04-02
17,4,24,5,2024-04-15
18,4,25,4,2024-05-10
19,5,9,5,2024-04-20
20,5,10,5,2024-05-01
21,5,19,5,2024-05-15
22,5,20,5,2024-06-01
23,6,2,4,2024-05-25
24,6,12,5,2024-06-05
25,6,23,4,2024-06-20
26,6,24,5,2024-07-01
27,7,11,5,2024-07-01
28,7,8,4,2024-07-10
29,7,22,5,2024-07-25
30,7,15,5,2024-08-05
31,8,1,5,2024-07-28
32,8,13,4,2024-08-02
33,8,7,5,2024-08-15
34,8,18,4,2024-08-20
35,1,21,4,2024-08-25
36,2,19,5,2024-09-01
37,3,20,5,2024-09-05
38,4,15,5,2024-09-10
39,5,22,4,2024-09-15
40,6,16,5,2024-09-20
41,7,17,5,2024-09-25
42,8,25,5,2024-09-28
43,1,9,4,2024-10-01
44,2,10,4,2024-10-05
45,3,11,5,2024-10-10
46,9,1,5,2024-02-01
47,9,26,5,2024-02-05
48,9,28,4,2024-02-15
49,9,13,5,2024-02-20
50,10,7,4,2024-02-18
51,10,66,5,2024-02-25
52,10,67,5,2024-03-05
53,10,20,4,2024-03-15
54,11,3,5,2024-03-08
55,11,4,5,2024-03-12
56,11,52,4,2024-03-20
57,11,53,5,2024-03-28
58,12,5,5,2024-03-25
59,12,6,4,2024-04-01
60,12,40,5,2024-04-10
61,12,41,4,2024-04-18
62,13,16,5,2024-04-20
63,13,17,5,2024-04-28
64,13,165,4,2024-05-05
65,13,166,5,2024-05-12
66,14,24,5,2024-05-08
67,14,25,4,2024-05-15
68,14,236,5,2024-05-22
69,14,237,5,2024-05-30
70,15,9,5,2024-05-28
